Estado ,Municipio ,Colonia 
Puebla,Puebla,Rancho Colorado
Puebla,Puebla,Rincón Dorado
Puebla,Puebla,Fuentes la Pradera
Puebla,Puebla,Plazuelas San José
Puebla,Puebla,Villas San Felipe
Puebla,Puebla,La Pedrera
Puebla,Puebla,Del Valle
Puebla,Puebla,Futura
Puebla,Puebla,Valle del Ángel
Puebla,Puebla,Jesús González Ortéga
Puebla,Puebla,San Bernardo
Puebla,Puebla,Jorge Murad Macluf
Puebla,Puebla,Ex-Rancho Colorado
Puebla,Puebla,Plaza San Alberto
Puebla,Puebla,Plaza Pedrera
Puebla,Puebla,Zona CAPU
Puebla,Puebla,Francisco Villa (Hoy 26 de Mayo)
Puebla,Puebla,Las Cuartillas
Puebla,Puebla,Unión
Puebla,Puebla,Los Arcos
Puebla,Puebla,Los Ídolos
Puebla,Puebla,Cleotilde Torres
Puebla,Puebla,San Miguel Hueyotlipan
Puebla,Puebla,Villa Karol
Puebla,Puebla,Torres 475
Puebla,Puebla,Villa Posadas
Puebla,Puebla,Real del Monte
Puebla,Puebla,Las Pozas
Puebla,Puebla,Rancho Posadas
Puebla,Puebla,Nueva Aurora Popular
Puebla,Puebla,Quetzalcoatl
Puebla,Puebla,Rancho Colorado
Puebla,Puebla,Plaza San Pedro
Puebla,Puebla,Valle Dorado
Puebla,Puebla,Aquiles Serdán
Puebla,Puebla,Las Hadas Mundial 86
Puebla,Puebla,S.A.R.H.
Puebla,Puebla,Unidad del Telefonista
Puebla,Puebla,Del Refugio
Puebla,Puebla,Maestro Federal
Puebla,Puebla,Morelos
Puebla,Puebla,Real de San Antonio
Puebla,Puebla,Santa María
Puebla,Puebla,Barrio de Santa Anita
Puebla,Puebla,San Antonio
Puebla,Puebla,Zona Esmeralda
Puebla,Puebla,Dos Arbolitos
Puebla,Puebla,Tierra y Libertad
Puebla,Puebla,Villa San Alejandro
Puebla,Puebla,Jesús García
Puebla,Puebla,La Providencia
Puebla,Puebla,Barrio San Sebastián
Puebla,Puebla,Residencial las Fuentes
Puebla,Puebla,San Matías
Puebla,Puebla,El Tamborcito
Puebla,Puebla,La Covadonga
Puebla,Puebla,San Jerónimo Caleras
Puebla,Puebla,Rinconada San Jerónimo Orquídeas
Puebla,Puebla,Loma Real
Puebla,Puebla,Magnolias
Puebla,Puebla,El Boscaje
Puebla,Puebla,Agrícola Ignacio Zaragoza
Puebla,Puebla,Loma Bonita
Puebla,Puebla,Los Cipreses
Puebla,Puebla,San Cristóbal Caleras (Tulcingo)
Puebla,Puebla,Lomas Coyopotrero
Puebla,Puebla,El Jazmín
Puebla,Puebla,San Jerónimo
Puebla,Puebla,Campestre Covadonga
Puebla,Puebla,Independencia Caleras
Puebla,Puebla,Del Valle
Puebla,Puebla,El Roble I
Puebla,Puebla,Secc. Bugambilias (San Jerónimo Caleras)
Puebla,Puebla,FOVI
Puebla,Puebla,Rinconada San Jerónimo Jazmín
Puebla,Puebla,Guadalupe Caleras
Puebla,Puebla,San José la Cañada
Puebla,Puebla,Une Movimiento Sindical
Puebla,Puebla,La Guadalupana
Puebla,Puebla,Del Valle (San Jerónimo Caleras)
Puebla,Puebla,Colorines
Puebla,Puebla,Lomas de San Jerónimo
Puebla,Puebla,El Riego Norte
Puebla,Puebla,Pedregal de Santo Domingo
Puebla,Puebla,San Juan
Puebla,Puebla,Los Pinos
Puebla,Puebla,Los Sauces
Puebla,Puebla,El Fresno
Puebla,Puebla,El Riego 1
Puebla,Puebla,El Riego 2
Puebla,Puebla,Xaxalpa (San Jerónimo)
Puebla,Puebla,Santo Domingo
Puebla,Puebla,El Jaguey
Puebla,Puebla,Lomas Tzilotzoni
Puebla,Puebla,Vista del Valle
Puebla,Puebla,Unidad Volkswagen Sur
Puebla,Puebla,Apetlachica
Puebla,Puebla,Orquideas Residencial
Puebla,Puebla,Plan de Ayala Caleras
Puebla,Puebla,Loma Linda
Puebla,Puebla,Civa G
Puebla,Puebla,Lomas de Coyopotrero
Puebla,Puebla,Vista del Valle
Puebla,Puebla,Lázaro Cárdenas Oriente
Puebla,Puebla,Azcapotzalco
Puebla,Puebla,Alberto de la Fuente
Puebla,Puebla,Las Palomas
Puebla,Puebla,San Cristóbal Tulcingo Oriente
Puebla,Puebla,Hacienda Los Olivos
Puebla,Puebla,Los Angeles Barranca Honda
Puebla,Puebla,San Juan Tulcingo
Puebla,Puebla,San José las Flores
Puebla,Puebla,Paraíso del Angel
Puebla,Puebla,Arboledas de Moratilla
Puebla,Puebla,2a. Sección Club de Golf las Fuentes
Puebla,Puebla,Club de Golf las Fuentes
Puebla,Puebla,Luz Obrera
Puebla,Puebla,Moratilla
Puebla,Puebla,Perpetuo Socorro
Puebla,Puebla,Fuentes de Morillotla
Puebla,Puebla,La Constancia
Puebla,Puebla,Los Cipreses
Puebla,Puebla,Tepetzintla
Puebla,Puebla,Molino de Santo Domingo
Puebla,Puebla,Campestre del Bosque
Puebla,Puebla,Las Fuentes de Puebla
Puebla,Puebla,Ignacio Romero Vargas
Puebla,Puebla,Villas el Encanto I
Puebla,Puebla,Independencia
Puebla,Puebla,San José Guadalupe
Puebla,Puebla,Miguel Abed
Puebla,Puebla,INFONAVIT Hermenegildo J. Aldana
Puebla,Puebla,Centro Cruz del Sur
Puebla,Puebla,Los Arcos Santa Cruz
Puebla,Puebla,La Vega
Puebla,Puebla,Villas el Encanto II
Puebla,Puebla,Vista Hermosa
Puebla,Puebla,Villas Inglesas
Puebla,Puebla,San José Citlaltepetl
Puebla,Puebla,Cuautlancingo
Puebla,Puebla,INFONAVIT Ladrillera
Puebla,Puebla,Residencial los Álamos
Puebla,Puebla,Obrera Textil José Abascal
Puebla,Puebla,Las Alamedas
Puebla,Puebla,La Ahogada
Puebla,Puebla,La Gloria I
Puebla,Puebla,San Carlos
Puebla,Puebla,Villa Madero
Puebla,Puebla,Francisco I. Madero
Puebla,Puebla,La Libertad
Puebla,Puebla,Residencial Privanza
Puebla,Puebla,Francisco I. Madero
Puebla,Puebla,La Gloria II
Puebla,Puebla,Los Laureles
Puebla,Puebla,Patriotismo
Puebla,Puebla,Puerta de Hierro
Puebla,Puebla,Jacarandas
Puebla,Puebla,Los Vergeles
Puebla,Puebla,Aquiles Serdán
Puebla,Puebla,Valle del Rey
Puebla,Puebla,Amor
Puebla,Puebla,Los Viveros
Puebla,Puebla,Jardines de Zavaleta
Puebla,Puebla,Britania
Puebla,Puebla,Rincón San José del Puente
Puebla,Puebla,San José del Puente
Puebla,Puebla,Villas Cruz del Sur
Puebla,Puebla,Villas el Navarriego
Puebla,Puebla,Campestre el Paraíso
Puebla,Puebla,Del Farol
Puebla,Puebla,Rinconada de los Viveros
Puebla,Puebla,Club Britania
Puebla,Puebla,Santa Cruz Buenavista
Puebla,Puebla,Humbolt
Puebla,Puebla,Arboledas del Paraíso
Puebla,Puebla,Rinconada Santa Cruz
Puebla,Puebla,Villas los Viveros
Puebla,Puebla,Los Arrayanes
Puebla,Puebla,Independencia
Puebla,Puebla,Residencial Ex-Hacienda de Zavaleta
Puebla,Puebla,Santa Cruz Buenavista
Puebla,Puebla,Cipreses  Zavaleta
Puebla,Puebla,Villa de Zavaleta
Puebla,Puebla,San Bernardo
Puebla,Puebla,La Cañada (Romero Vargas)
Puebla,Puebla,La Cuchilla
Puebla,Puebla,Vista del Volcán
Puebla,Puebla,La Loma (Ejido Romero Vargas
Puebla,Puebla,Ampliación Reforma
Puebla,Puebla,Reforma
Puebla,Puebla,Plaza Reforma
Puebla,Puebla,La Paz
Puebla,Puebla,Reforma Sur (La Libertad)
Puebla,Puebla,Guadalupe (Ejido Romero Vargas)
Puebla,Puebla,Santa Cruz Guadalupe
Puebla,Puebla,Bello Horizonte
Puebla,Puebla,Bellas Artes
Puebla,Puebla,Arcos del Sur
Puebla,Puebla,La Flor de Nieve
Puebla,Puebla,La Concepción
Puebla,Puebla,Hacienda San Andrés
Puebla,Puebla,Camino Real a Cholula
Puebla,Puebla,Camino Real
Puebla,Puebla,San Marcos
Puebla,Puebla,Villa Alejandra
Puebla,Puebla,Villa Escondida
Puebla,Puebla,Fundadores de Zavaleta
Puebla,Puebla,Zavaleta (Momoxpan)
Puebla,Puebla,Real de Morillotla
Puebla,Puebla,Rincón de San Andrés
Puebla,Puebla,Villa Génesis
Puebla,Puebla,Ex-Hacienda Concepción Buena Vista
Puebla,Puebla,Residencial la Escondida
Puebla,Puebla,Zavaleta (Zavaleta)
Puebla,Puebla,Camino Real a Cholula
Puebla,Puebla,Zona Residencial Anexa Estrellas del Sur
Puebla,Puebla,Nueva Antequera
Puebla,Puebla,Providencia las Ánimas
Puebla,Puebla,Las Animas Santa Anita
Puebla,Puebla,Belisario Domínguez
Puebla,Puebla,Unidad Palma
Puebla,Puebla,San Miguel la Rosa
Puebla,Puebla,Concepción las Lajas
Puebla,Puebla,Geovillas Atlixcayotl la Hacienda
Puebla,Puebla,San Ángel
Puebla,Puebla,Cortijo la Herradura
Puebla,Puebla,Estrella del Sur
Puebla,Puebla,San José Vista Hermosa
Puebla,Puebla,Momosa
Puebla,Puebla,Las Sinfonías
Puebla,Puebla,Corredor Comercial Desarrollo Atlixcayotl
Puebla,Puebla,Angelopolis
Puebla,Puebla,Rinconada Sur Oriente
Puebla,Puebla,Rinconada Sur Poniente
Puebla,Puebla,Del Arte
Puebla,Puebla,Jardines de San José
Puebla,Puebla,Corredor Empresarial Boulevard Atlixco
Puebla,Puebla,Ampliación Concepción la Cruz
Puebla,Puebla,Villas de Atlixco
Puebla,Puebla,Pontevedra
Puebla,Puebla,La Cima
Puebla,Puebla,Villas de Atlixco 4a. Sección
Puebla,Puebla,Geovillas Atlixcayotl
Puebla,Puebla,Real de Zavaleta
Puebla,Puebla,Concepción la Cruz
Puebla,Puebla,El Pilar
Puebla,Puebla,Revolución Mexicana
Puebla,Puebla,Villa Frontera
Puebla,Puebla,INFONAVIT San Pedro
Puebla,Puebla,Unión y Libertad
Puebla,Puebla,Roma
Puebla,Puebla,Tepeyac
Puebla,Puebla,Tecnológico
Puebla,Puebla,Unidad Independencia
Puebla,Puebla,Malintzi
Puebla,Puebla,San Pedro
Puebla,Puebla,El Pinal
Puebla,Puebla,Naciones Unidas
Puebla,Puebla,San Sebastián de Aparicio
Puebla,Puebla,La Josefina
Puebla,Puebla,Villa Deportiva
Puebla,Puebla,Maravillas
Puebla,Puebla,Villa Maruca
Puebla,Puebla,Corredor Industrial La Ciénega
Puebla,Puebla,Estación Nueva
Puebla,Puebla,Jardines de la Resurrección
Puebla,Puebla,Viveros del Valle
Puebla,Puebla,Parque Industrial Puebla 2000
Puebla,Puebla,La Resurrección
Puebla,Puebla,Bosques de Santa Anita
Puebla,Puebla,Cerro del Marqués
Puebla,Puebla,Riveras de Aparicio
Puebla,Puebla,Los Encinos
Puebla,Puebla,2 de Marzo
Puebla,Puebla,8 de Diciembre
Puebla,Puebla,Tliloxtoc
Puebla,Puebla,Bosques de los Angeles
Puebla,Puebla,15 de Septiembre
Puebla,Puebla,6 de Junio
Puebla,Puebla,Campestre San Isidro
Puebla,Puebla,Noche Buena
Puebla,Puebla,Jorge Obispo
Puebla,Puebla,Santa Rosa
Puebla,Puebla,San Aparicio las Fuentes
Puebla,Puebla,Indios Verdes
Puebla,Puebla,Parque Industrial Resurrección
Puebla,Puebla,Tres de Mayo
Puebla,Puebla,Torre Fuerte
Puebla,Puebla,INFONAVIT San Aparicio
Puebla,Puebla,Rancho San Diego
Puebla,Puebla,Valle de las Flores
Puebla,Puebla,Hacienda de Manzanilla
Puebla,Puebla,Galaxia Bosques de Manzanilla
Puebla,Puebla,Villa Guadalupe (Xonacatepec)
Puebla,Puebla,Xonacatepec
Puebla,Puebla,San Esteban las Aves
Puebla,Puebla,Ampliación Bosques de Santa Anita
Puebla,Puebla,Santa María Xonacatepec
Puebla,Puebla,San Miguel Xonacatepec
Puebla,Puebla,La Barranca
Puebla,Puebla,Jardines de San José Xonacatepec
Puebla,Puebla,Villas Manzanilla
Puebla,Puebla,San Miguel Xonacatepec 2da. Sección
Puebla,Puebla,La Loma Norte
Puebla,Puebla,Veinte de Noviembre
Puebla,Puebla,Zona Industrial Anexo a la Loma
Puebla,Puebla,16 de Septiembre Norte
Puebla,Puebla,Guadalupe Victoria Norte
Puebla,Puebla,Vicente Budib
Puebla,Puebla,Los Pinos
Puebla,Puebla,Plaza Loreto
Puebla,Puebla,Adolfo López Mateos
Puebla,Puebla,Cuauhtémoc
Puebla,Puebla,Obrera Campesina
Puebla,Puebla,Arboledas Guadalupe
Puebla,Puebla,Mártires del Trabajo
Puebla,Puebla,1° de Mayo Unión Antorchista
Puebla,Puebla,Plazas de Guadalupe
Puebla,Puebla,Lomas de Loreto
Puebla,Puebla,Hidalgo
Puebla,Puebla,Moctezuma
Puebla,Puebla,INFONAVIT la Ciénega (Unidad Movimiento Obrero)
Puebla,Puebla,Rementeria
Puebla,Puebla,José María Morelos y Pavón
Puebla,Puebla,INFONAVIT La Rosa
Puebla,Puebla,Unidad Cívica 5 de Mayo
Puebla,Puebla,Fauna Marina
Puebla,Puebla,Jardines de los Fuertes
Puebla,Puebla,Renacimiento
Puebla,Puebla,Arboledas Sección Fuentes
Puebla,Puebla,Lomas 5 de Mayo
Puebla,Puebla,Diez de Mayo
Puebla,Puebla,Luz del Alba
Puebla,Puebla,Puebla
Puebla,Puebla,Azteca
Puebla,Puebla,Iturbide
Puebla,Puebla,Cinco de Mayo
Puebla,Puebla,Vista Hermosa
Puebla,Puebla,Aldama
Puebla,Puebla,Héroes del 5 de Mayo
Puebla,Puebla,Xonaca
Puebla,Puebla,Xanenetla
Puebla,Puebla,Buenos Aires
Puebla,Puebla,Rincón del Bosque
Puebla,Puebla,Barrio del Alto
Puebla,Puebla,Unidad Magisterial México 68
Puebla,Puebla,Joaquín Colombres
Puebla,Puebla,Villa Verde
Puebla,Puebla,Camino a Manzanilla
Puebla,Puebla,Bosques de Manzanilla
Puebla,Puebla,Miguel Hidalgo (Resurrección)
Puebla,Puebla,La Nueva Resurrección
Puebla,Puebla,INFONAVIT Manuel Rivera Anaya
Puebla,Puebla,Arboledas de Amalucan
Puebla,Puebla,Villas Real Campestre II
Puebla,Puebla,Conjunto Habitacional San Andrés
Puebla,Puebla,Bosques San Sebastián
Puebla,Puebla,Villa Frescura VI
Puebla,Puebla,Real Campestre
Puebla,Puebla,Lumbreras de Amalucan (Jardines)
Puebla,Puebla,Hacienda los Capulines I
Puebla,Puebla,INFONAVIT Amalucan
Puebla,Puebla,INFONAVIT Bugambilias
Puebla,Puebla,Plazas Amalucan
Puebla,Puebla,Bosques del Pilar
Puebla,Puebla,INFONAVIT Bosques San Sebastían
Puebla,Puebla,Bosques de Amalucan
Puebla,Puebla,San Baltazar la Resurrección
Puebla,Puebla,Militar Plaza Amalucan II
Puebla,Puebla,Real del Bosque
Puebla,Puebla,Del Valle
Puebla,Puebla,Bosques de Amalucan 1ra Sección
Puebla,Puebla,Hacienda los Capulines II
Puebla,Puebla,Santa Margarita
Puebla,Puebla,Bosques de Amalucan 2da Sección
Puebla,Puebla,San Antonio Abad
Puebla,Puebla,Álamos Vista Hermosa
Puebla,Puebla,Ciudad Satélite
Puebla,Puebla,Chapultepec
Puebla,Puebla,Los Álamos
Puebla,Puebla,Unidad Satélite Magisterial
Puebla,Puebla,El Porvenir
Puebla,Puebla,Cristóbal Colón
Puebla,Puebla,América Norte
Puebla,Puebla,Gregorio Ramos
Puebla,Puebla,América Sur
Puebla,Puebla,El Cristo
Puebla,Puebla,San Luis Gonzaga
Puebla,Puebla,Campo Militar 25
Puebla,Puebla,Unidad y Progreso
Puebla,Puebla,Rosales 1a. Sección
Puebla,Puebla,Pedregal
Puebla,Puebla,Lomas de Chapultepec
Puebla,Puebla,Unidad San Ángel (San Salvador Ch.)
Puebla,Puebla,Rosales 2a. Sección
Puebla,Puebla,Puente Bravo
Puebla,Puebla,Villa de Reyes
Puebla,Puebla,Hermosa Provincia
Puebla,Puebla,Gonzalo Bautista O´Farril
Puebla,Puebla,Los Álamos Toltepec
Puebla,Puebla,Huixcolotera
Puebla,Puebla,La Palma
Puebla,Puebla,Paraíso
Puebla,Puebla,Veracruz
Puebla,Puebla,Lomas Flor del Bosque
Puebla,Puebla,San Juan Flor del Bosque
Puebla,Puebla,Amaluquilla
Puebla,Puebla,Cuauhyocan
Puebla,Puebla,El Salvador
Puebla,Puebla,Historiadores
Puebla,Puebla,Humboldt Sur
Puebla,Puebla,Miguel Negrete
Puebla,Puebla,Humboldt Norte
Puebla,Puebla,Agrícola Resurgimiento
Puebla,Puebla,Miguel Alemán
Puebla,Puebla,La Gloria
Puebla,Puebla,Resurgimiento CD. Norte
Puebla,Puebla,Acocota
Puebla,Puebla,Barrio de la Luz
Puebla,Puebla,Los Remedios
Puebla,Puebla,Vicente Suárez
Puebla,Puebla,Ignacio Zaragoza
Puebla,Puebla,Santa Bárbara Norte
Puebla,Puebla,Santa Bárbara Sur
Puebla,Puebla,El Chamizal
Puebla,Puebla,Dos de Abril
Puebla,Puebla,El Encinar 1ra. Sección
Puebla,Puebla,El Encinar 2a. Sección
Puebla,Puebla,Francisco Javier Clavijero
Puebla,Puebla,Villa Magna
Puebla,Puebla,Oasis
Puebla,Puebla,Las Ánimas Centro Comercial
Puebla,Puebla,Rincón de las Animas
Puebla,Puebla,Plaza Express
Puebla,Puebla,El Vergel
Puebla,Puebla,Esmeralda
Puebla,Puebla,Las Ánimas
Puebla,Puebla,O´Farril
Puebla,Puebla,Santa Cruz los Angeles
Puebla,Puebla,Amanecer
Puebla,Puebla,Villa Génesis
Puebla,Puebla,Villa Erika
Puebla,Puebla,Barrio de Santiago
Puebla,Puebla,San Miguel Las Pajaritas
Puebla,Puebla,Residencial la Encomienda de la Noria
Puebla,Puebla,Los Volcanes
Puebla,Puebla,El Águila
Puebla,Puebla,Torre Las Ánimas
Puebla,Puebla,La Noria
Puebla,Puebla,Gustavo Díaz Ordaz
Puebla,Puebla,Benito Juárez
Puebla,Puebla,Granjas Atoyac
Puebla,Puebla,Nueva del Carmen
Puebla,Puebla,INFONAVIT 12 de Mayo de 1918
Puebla,Puebla,Rivera de Santiago
Puebla,Puebla,Chula Vista
Puebla,Puebla,Insurgentes Chulavista
Puebla,Puebla,Gabriel Pastor 1a Sección
Puebla,Puebla,El Ingeniero
Puebla,Puebla,Héroe de Nacozari
Puebla,Puebla,Alpha 2
Puebla,Puebla,Gabriel Pastor 2a Sección
Puebla,Puebla,Prados Agua Azul
Puebla,Puebla,Reforma Agua Azul
Puebla,Puebla,Rivera del Atoyac
Puebla,Puebla,Villa Florencia
Puebla,Puebla,Agua Azul (Balneario)
Puebla,Puebla,El Cerrito
Puebla,Puebla,Plaza Crystal
Puebla,Puebla,Girasol
Puebla,Puebla,Plaza América
Puebla,Puebla,La Teja
Puebla,Puebla,Los Angeles Mayorazgo
Puebla,Puebla,Boulevares
Puebla,Puebla,Villa Encantada
Puebla,Puebla,El Progreso
Puebla,Puebla,Concepción Guadalupe
Puebla,Puebla,El Patrimonio
Puebla,Puebla,Leobardo Coca C.
Puebla,Puebla,El Paraíso
Puebla,Puebla,Villas Everest
Puebla,Puebla,San José Mayorazgo
Puebla,Puebla,Vicente Ferrer
Puebla,Puebla,Lomas Club de Golf
Puebla,Puebla,Kepler
Puebla,Puebla,Bosques de Angelopolis
Puebla,Puebla,Mayorazgo
Puebla,Puebla,Fuentes de Angelopolis
Puebla,Puebla,Cortijo Angelopolis
Puebla,Puebla,Puerta Paraíso
Puebla,Puebla,Centro Comercial Palmas PLaza
Puebla,Puebla,Torres de Plata
Puebla,Puebla,Palmas
Puebla,Puebla,El Mayorazgo
Puebla,Puebla,Molino de Enmedio
Puebla,Puebla,Everest
Puebla,Puebla,Azul
Puebla,Puebla,Bosques de Atoyac
Puebla,Puebla,FOVISSSTE San Roque
Puebla,Puebla,Club de Golf
Puebla,Puebla,Rincón Arboledas
Puebla,Puebla,Club de Golf Puebla
Puebla,Puebla,Centro Comercial Puebla
Puebla,Puebla,Vanguardia Magisterial
Puebla,Puebla,Mateo Sección San José Maravillas
Puebla,Puebla,UEMAC
Puebla,Puebla,Ex-Rancho Vaquerías
Puebla,Puebla,El Encanto
Puebla,Puebla,Ex-Rancho Vaquerías
Puebla,Puebla,INFONAVIT Mateo de Regil Rodríguez
Puebla,Puebla,Rincón de los Cipreses I
Puebla,Puebla,Geovillas la Vista
Puebla,Puebla,El Saucedal
Puebla,Puebla,Campestre Mayorazgo
Puebla,Puebla,Rinconada las Torres
Puebla,Puebla,Granjas del Sur
Puebla,Puebla,Vicente Guerrero
Puebla,Puebla,INFONAVIT San Bartolo
Puebla,Puebla,San Jorge
Puebla,Puebla,Puebla Textil
Puebla,Puebla,Tecali
Puebla,Puebla,Popular Emiliano Zapata
Puebla,Puebla,Vista Hermosa Cd.Sur
Puebla,Puebla,Eleganza
Puebla,Puebla,INFONAVIT El Carmen (Gastronómicos)
Puebla,Puebla,INFONAVIT Xaxalpa
Puebla,Puebla,Villas América
Puebla,Puebla,Lomas del Sur
Puebla,Puebla,Emperador
Puebla,Puebla,Granjas Bugambilias
Puebla,Puebla,Villas del Carmen
Puebla,Puebla,Popular Coatepec
Puebla,Puebla,Gerona
Puebla,Puebla,Popular Castillotla
Puebla,Puebla,Damisal
Puebla,Puebla,El Fresno II
Puebla,Puebla,Rancho Chapulco
Puebla,Puebla,INFONAVIT Loma Bella
Puebla,Puebla,Loma Encantada
Puebla,Puebla,Villa del Sur
Puebla,Puebla,El Fresno I
Puebla,Puebla,Las Torres
Puebla,Puebla,16 de Septiembre Sur
Puebla,Puebla,Jardines de Bugambilias
Puebla,Puebla,Jardín
Puebla,Puebla,Arboledas de Loma Bella
Puebla,Puebla,Loma Linda
Puebla,Puebla,Unidad Alta Vista
Puebla,Puebla,San Francisco Mayorazgo
Puebla,Puebla,Villas Monarcas
Puebla,Puebla,Las Carmelitas
Puebla,Puebla,Misión del Mayorazgo
Puebla,Puebla,Villas de San Francisco Mayorazgo
Puebla,Puebla,Ex-Hacienda Mayorazgo
Puebla,Puebla,INFONAVIT la Victoria
Puebla,Puebla,Rinconada los Arcos 1
Puebla,Puebla,Tres Cerritos
Puebla,Puebla,Galaxia la Laguna
Puebla,Puebla,Eclipse
Puebla,Puebla,San José los Pinos
Puebla,Puebla,San Juan Bosco
Puebla,Puebla,Rinconada Los Arcos 2
Puebla,Puebla,Granjas Mayorazgo
Puebla,Puebla,INFONAVIT la Carmelita
Puebla,Puebla,INFONAVIT San Miguel Mayorazgo
Puebla,Puebla,Cipreses de Mayorazgo
Puebla,Puebla,San José la Laguna
Puebla,Puebla,Los Cantaros
Puebla,Puebla,Geovillas las Garzas
Puebla,Puebla,Las Mercedes II
Puebla,Puebla,Tres Cerritos
Puebla,Puebla,Habitad para la Humanidad de México
Puebla,Puebla,Paseos del Río
Puebla,Puebla,Guadalupe Hidalgo
Puebla,Puebla,Nuevo Plan de Ayala
Puebla,Puebla,El Triunfo
Puebla,Puebla,2a. Ampliación Unión Antorchista
Puebla,Puebla,S.U.T.E.R.M.
Puebla,Puebla,Luis Donaldo Colosio
Puebla,Puebla,Luna
Puebla,Puebla,Antigua Hacienda
Puebla,Puebla,Villas Diamante II
Puebla,Puebla,Rincón de los Cipreses
Puebla,Puebla,Unidad Antorchista
Puebla,Puebla,Geovillas del Sur
Puebla,Puebla,Joyas del Sur
Puebla,Puebla,Los Limones
Puebla,Puebla,Villas San Antonio IV
Puebla,Puebla,Villas del Sol
Puebla,Puebla,Lomas de Castillotla
Puebla,Puebla,Cabañas de Santa María
Puebla,Puebla,San Ramón 1a Sección
Puebla,Puebla,San Ramón 2a Sección
Puebla,Puebla,Villas Perisur
Puebla,Puebla,Lomas de San Valentín
Puebla,Puebla,Ampliación Unión Antorchista
Puebla,Puebla,Hacienda del Sur
Puebla,Puebla,Magisterial Periferico Sur
Puebla,Puebla,INFONAVIT Agua Santa
Puebla,Puebla,Hacienda el Cobre
Puebla,Puebla,Hacienda del Sur II
Puebla,Puebla,Regina
Puebla,Puebla,INFONAVIT Fuentes de San Bartolo
Puebla,Puebla,Lomas del Sol
Puebla,Puebla,Marbella
Puebla,Puebla,Hacienda el Cobre 3a. Sección
Puebla,Puebla,Granjas Puebla
Puebla,Puebla,San Ramón 3a Sección
Puebla,Puebla,San Ramón 4a Sección
Puebla,Puebla,Felipe Carrillo Puerto
Puebla,Puebla,Nueva Democracia
Puebla,Puebla,La Giralda
Puebla,Puebla,Lomas de Atoyac
Puebla,Puebla,Lomas del Sol 2
Puebla,Puebla,Los Cerezos
Puebla,Puebla,La Chispa
Puebla,Puebla,Villas el Ensueño
Puebla,Puebla,Las Mercedes
Puebla,Puebla,INFONAVIT San Miguel Mayorazgo 1a Sección
Puebla,Puebla,Hacienda San José II
Puebla,Puebla,San José Chapulco
Puebla,Puebla,3ra Ampliación Guadalupe Hidalgo
Puebla,Puebla,Concepción Sur
Puebla,Puebla,Hacienda el Cobre 2a. Sección
Puebla,Puebla,Ex-Hacienda Chapulco
Puebla,Puebla,Hacienda San José 3a. Sección
Puebla,Puebla,Chapulco
Puebla,Puebla,Victor Puebla
Puebla,Puebla,Pedregal de Guadalupe Hidalgo
Puebla,Puebla,Los Héroes de Puebla II
Puebla,Puebla,San Alfonso
Puebla,Puebla,La Playa
Puebla,Puebla,Flores del Pedregal
Puebla,Puebla,Geovillas del Sur
Puebla,Puebla,Jardines del Sur
